timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
4981,-0.35,-1.08,-0.37,154.5,-14.3,-4.3
4981,-0.48,-1.42,-0.80,116.3,-27.9,-5.6
4981,-0.34,-1.26,-0.67,134.8,-36.2,-7.8
4983,-0.06,-1.65,-0.83,219.9,-54.6,-6.6
5010,-1.03,-2.27,-0.51,320.9,-54.1,19.2
5069,-1.07,-1.38,-1.85,224.1,-74.2,29.5
5070,-1.26,-0.71,-2.01,174.4,-130.1,0.8
5071,-1.65,-1.76,-0.91,301.7,-159.7,2.7
5101,-1.56,-1.02,-1.03,590.1,-177.2,0.7
5101,-2.63,-0.88,-1.86,727.7,-193.2,-19.2
5131,-3.07,-0.42,-1.85,1285.1,-185.6,-111.9
5160,-2.70,-2.39,-4.00,1462.6,-146.1,-145.2
5161,-3.42,1.47,-4.00,1056.1,-133.7,-180.8
5190,-4.00,4.00,-3.94,402.0,-279.4,-390.3
5220,-4.00,1.91,-3.92,397.6,-274.2,-431.1
5221,-3.99,3.98,-3.99,361.5,-285.5,-557.1
5250,-4.00,4.00,-3.73,502.4,-294.9,-666.0
5280,-4.00,-0.28,0.95,425.2,-218.3,-857.7
5282,-4.00,-4.00,1.67,-115.3,-123.2,-934.8
5310,-4.00,-4.00,1.90,-88.7,-192.0,-769.7
5340,-4.00,-3.94,3.74,-15.9,-170.8,-421.3
5341,-3.51,-4.00,4.00,-46.4,-122.2,-247.1
5370,-1.04,-4.00,3.64,-87.8,24.8,9.3
5400,0.94,-4.00,0.73,-25.1,42.9,34.4
5431,1.39,-3.37,-0.24,80.5,8.9,91.2
5431,1.54,-0.96,0.58,23.9,30.2,55.5
5460,1.94,-0.61,-0.72,-12.8,37.4,10.7
5491,1.56,-1.09,-1.53,37.5,-3.2,0.7
5491,0.82,-1.33,0.11,31.6,-16.1,25.9
5520,0.72,0.39,-0.13,-25.8,-0.4,30.2
5581,0.70,-0.20,-1.28,-9.0,0.7,-13.1
5581,0.55,-1.54,-0.99,15.7,-46.1,-17.3
5583,0.38,-1.68,-0.09,13.1,-50.1,-6.2
5672,0.09,-1.23,1.01,9.9,-22.2,10.1
5672,0.20,-1.11,-0.16,10.6,8.2,11.3
5673,0.36,-1.11,-0.90,26.9,-13.0,16.3
5673,0.22,-1.22,-0.13,31.7,-25.1,23.2
5700,0.07,-0.80,0.17,13.4,-6.8,24.5
5701,0.24,-0.84,-0.68,-4.9,-10.1,15.1
5730,0.25,-1.04,-0.65,-4.2,-30.8,18.5
5760,0.13,-0.62,0.31,16.1,-20.8,19.8
5797,0.16,-0.40,0.23,9.0,-14.5,12.0
5797,0.20,-0.89,-0.08,-7.8,-12.3,-4.3
5821,0.15,-1.12,0.22,-14.2,-11.2,-3.7
5821,0.13,-1.11,0.27,10.2,-1.5,1.9
5850,0.11,-1.14,0.07,23.8,5.6,5.6
5880,0.07,-1.04,0.05,8.9,8.2,8.1
5880,0.03,-0.68,0.17,5.0,15.9,6.0
5910,0.10,-0.57,-0.12,19.2,26.2,-2.2
5940,0.16,-0.85,-0.65,22.5,20.3,-6.6
5971,0.14,-1.05,-0.57,8.2,8.5,-2.0
5971,0.14,-0.83,-0.17,-6.4,8.7,1.2
6001,0.15,-0.49,-0.12,6.7,15.9,-7.6
6001,0.21,-0.96,-0.53,14.5,16.7,-12.9
6030,0.30,-1.17,-0.72,-8.5,4.4,-4.6
6061,0.28,-0.97,-0.53,-16.2,-5.3,1.4
6061,0.26,-0.74,-0.30,3.8,-4.8,-4.5
6090,0.28,-1.14,-0.29,-0.2,-4.3,-4.6
6121,0.29,-1.20,-0.25,-23.1,-5.4,2.6
6121,0.32,-0.93,-0.18,-25.7,-4.0,4.6
6150,0.35,-0.89,-0.25,-20.8,-2.4,0.4
6180,0.31,-1.24,-0.31,-35.5,-5.7,2.3
6210,0.27,-1.30,-0.08,-88.3,-5.3,13.0
6211,0.28,-0.77,0.07,-137.7,2.9,10.4
6240,0.32,-0.81,-0.20,-156.4,6.7,-3.1
6241,0.29,-1.52,-0.27,-164.4,3.9,-7.0
6270,0.19,-2.23,0.11,-234.7,-1.2,9.0
6316,0.04,-2.28,0.37,-340.5,3.7,28.6
6328,-0.08,-1.86,0.50,-408.7,7.8,34.8
6329,-0.07,-1.37,0.72,-535.0,13.1,35.8
6360,-0.11,-1.43,1.52,-617.1,20.2,28.6
6388,-0.21,-1.59,1.93,-721.7,66.9,31.4
6390,-0.07,-0.97,1.83,-778.3,98.4,28.3
6419,-0.07,-0.35,1.53,-788.6,125.5,8.5
